config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.4702,2.7345,3.0074,2.6564413723914058,0,0,0
2,2.2804,2.4779,2.6869,2.3445782848389216,0,1,1
3,2.4534,2.6851,2.9197,2.601836573469785,0,0,0
4,2.2187,2.3745,2.5369,2.2524282369596813,0,1,1
5,2.5305,2.8162,3.1105,2.7721485732505142,2,0,2
6,2.5048,2.7866,3.0737,2.728365211566052,1,1,2
7,2.2636,2.4301,2.6009,2.311729623441764,0,1,1
8,2.5512,2.8513,3.1698,2.823446543620669,1,1,2
9,2.0583,2.1456,2.2355,2.056926455375783,0,1,1
10,2.4964,2.7705,3.0529,2.70620079829966,1,0,1
11,2.4369,2.6712,2.9095,2.5809593061783227,0,0,0
12,2.5524,2.8556,3.1692,2.8303640373912966,0,1,1
13,2.2666,2.4415,2.6195,2.3187900572954083,1,0,1
14,2.5455,2.8679,3.2038,2.847940096657067,0,0,0
15,2.2335,2.4154,2.6064,2.2783854300484285,0,1,1
16,2.2122,2.3605,2.5106,2.2430081057390416,1,0,1
17,2.2763,2.445,2.6162,2.328705786356991,0,0,0
18,2.639,2.9889,3.3543,3.058355681528888,0,1,1
19,2.6647,3.0122,3.3732,3.098107880319344,1,0,1
20,2.4778,2.7356,3.003,2.6606593370727847,1,0,1
21,2.0821,2.1753,2.2712,2.083590661044836,0,0,0
22,2.452,2.7164,2.9897,2.6296815909551485,0,1,1
23,2.6916,3.0372,3.4017,3.142968012583093,1,0,1
24,2.4265,2.6536,2.8879,2.5599621109666377,0,1,1
25,2.4908,2.7434,3.015,2.672734052760205,0,0,0
26,2.3815,2.6085,2.8445,2.497535806206187,1,0,1
27,2.2314,2.4019,2.5772,2.272651056374745,0,0,0
28,2.1104,2.2203,2.3346,2.116424852023876,0,0,0
29,2.606,2.9073,3.2162,2.9126009066722784,1,1,2
30,2.5977,2.9083,3.23,2.9145306103096646,1,0,1
31,2.3283,2.5379,2.7616,2.413495658776576,0,0,0
32,2.1528,2.2714,2.3918,2.1665076685849747,0,1,1
33,2.2951,2.4819,2.6722,2.360112401501849,1,1,2
34,2.3668,2.5987,2.8446,2.479760961160218,0,0,0
35,2.068,2.1506,2.2332,2.067761217875627,0,0,0
36,2.4237,2.6523,2.8861,2.557651932393122,1,0,1
37,2.5412,2.8053,3.0728,2.761443340090438,0,0,0
38,2.3379,2.5578,2.788,2.4329853550783618,0,1,1
39,2.1376,2.2621,2.3907,2.149326214815305,1,0,1
40,2.1531,2.2889,2.4292,2.1690880605469665,1,1,2
41,2.388,2.6218,2.8648,2.511453998723371,0,0,0
42,2.3546,2.5769,2.813,2.456636840725002,0,1,1
43,2.3256,2.5329,2.7501,2.4093076656896404,0,0,0
44,2.5854,2.8882,3.2029,2.8822480551038265,0,1,1
45,2.3217,2.5038,2.6895,2.3920635264004653,0,0,0
46,2.1977,2.3574,2.5281,2.227129028286361,0,1,1
47,2.2643,2.452,2.6489,2.319953801474142,0,0,0
48,2.3954,2.6139,2.8369,2.511224533210529,0,1,1
49,2.4618,2.7122,2.9679,2.630736243807716,0,0,0
50,2.5084,2.7856,3.0749,2.727441068659632,1,0,1
51,1.9536,1.9974,2.0423,1.9471895976385276,0,1,1
52,2.1447,2.2697,2.3976,2.157792017525038,0,1,1
53,2.2089,2.37,2.536,2.2419128210699717,1,0,1
54,2.3806,2.6079,2.8525,2.4950791181146834,0,0,0
55,2.5797,2.9023,3.2475,2.9050601327829546,0,0,0
56,2.4203,2.6596,2.9064,2.561342305446689,0,1,1
57,2.2539,2.4102,2.5762,2.2954681651352167,1,0,1
58,2.398,2.632,2.8746,2.525654172493216,0,1,1
59,2.0789,2.1726,2.2671,2.0800105030196008,0,1,1
60,2.4116,2.6579,2.9162,2.554083026919995,1,0,1
61,2.5548,2.8303,3.1155,2.7956487355887547,0,1,1
62,2.2846,2.5007,2.7285,2.3585295447079546,0,1,1
63,2.5269,2.8156,3.1148,2.7703256621060617,1,0,1
64,2.187,2.3203,2.4527,2.2095069008446337,0,1,1
65,2.2731,2.4779,2.6965,2.3377812020998583,1,0,1
66,2.4346,2.6792,2.9259,2.587033737614993,0,0,0
67,2.2249,2.3817,2.544,2.260446434905839,0,0,0
68,2.4354,2.6814,2.9328,2.588866569117271,1,1,2
69,2.4236,2.6461,2.8711,2.553049836266976,1,1,2
70,2.3644,2.596,2.8414,2.476258356006384,0,1,1
71,2.4989,2.7747,3.0554,2.7123761136976694,1,0,1
72,2.5165,2.7949,3.0818,2.7415886717336075,0,0,0
73,2.5234,2.8097,3.1074,2.761722864640272,0,0,0
74,2.5562,2.8438,3.1386,2.814340577228269,1,1,2
75,2.3953,2.6519,2.9243,2.538485222054885,1,1,2
76,2.3765,2.5947,2.8172,2.4853761053360315,1,1,2
77,2.3901,2.6339,2.8847,2.5223766182705405,0,1,1
78,2.5177,2.7928,3.0784,2.7391345599486145,1,1,2
79,2.2421,2.4047,2.5741,2.2833045977154995,0,1,1
80,2.2925,2.4803,2.6755,2.3566348840437232,0,1,1
81,2.2229,2.3863,2.5586,2.2594729932889064,1,0,1
82,2.3508,2.5716,2.8001,2.4515380045061907,0,1,1
83,2.1245,2.2258,2.3268,2.132119078856864,0,0,0
84,2.3629,2.5795,2.8044,2.465197869106718,1,0,1
85,2.4146,2.6548,2.904,2.553800109736519,0,0,0
86,2.3048,2.4909,2.6791,2.372507875212789,0,1,1
87,2.1372,2.2617,2.3902,2.1488615896107777,1,1,2
88,2.3842,2.6039,2.829,2.496694295829098,0,0,0
89,2.3394,2.5661,2.805,2.4388246474630275,1,1,2
90,2.8213,3.213,3.6214,3.5162161924624065,1,0,1
91,2.0898,2.1931,2.3019,2.092517433546336,1,1,2
92,2.448,2.6931,2.9462,2.6055624353013767,0,0,0
93,2.2593,2.4478,2.6451,2.313864076395083,1,0,1
94,2.3019,2.4796,2.6595,2.3648991785418585,1,0,1
95,2.2486,2.4232,2.6023,2.2957140344915503,1,0,1
96,2.1676,2.303,2.4432,2.1863023375078785,1,0,1
97,2.3943,2.6122,2.8399,2.5084013196880006,0,0,0
98,2.3461,2.5616,2.7844,2.4419570747501163,0,1,1
99,2.3516,2.5556,2.7701,2.4418783649813665,0,1,1
100,2.4213,2.6607,2.9057,2.5631565443611133,0,0,0
101,2.1908,2.3337,2.4809,2.2155859757349456,0,1,1
102,2.7434,3.1056,3.4795,3.2736897265359497,1,1,2
103,2.3757,2.609,2.8528,2.493726024108822,1,1,2
104,2.4677,2.7296,2.9992,2.65041891216989,1,0,1
105,2.2451,2.4068,2.5702,2.287347929856891,0,0,0
106,2.4649,2.7359,3.02,2.6549156716967923,0,1,1
107,2.4034,2.6533,2.9135,2.5456357061164607,0,1,1
108,2.3692,2.574,2.7821,2.466917227491129,0,0,0
109,2.4167,2.643,2.8824,2.5448175293699817,1,1,2
110,2.4654,2.7178,2.9806,2.6370808778471457,0,1,1
111,2.3512,2.5584,2.7709,2.444117702830694,0,0,0
112,2.282,2.4538,2.6268,2.3372925455600315,2,0,2
113,2.3701,2.5833,2.8027,2.473061297436251,0,0,0
114,2.3049,2.4908,2.6809,2.372229039425924,0,1,1
115,2.4062,2.6294,2.8583,2.529240025918141,1,0,1
116,2.4186,2.6458,2.886,2.548169249851439,1,0,1
117,2.3141,2.5223,2.738,2.394842471285201,1,0,1
118,2.4229,2.6683,2.93,2.568690751348753,0,1,1
119,2.3727,2.5943,2.8242,2.481832782314422,1,1,2
120,2.2635,2.4308,2.6017,2.31198712188233,0,0,0
121,2.3574,2.5993,2.867,2.47139001698647,0,1,1
122,2.2934,2.4813,2.6722,2.3584863906401816,0,0,0
123,2.2982,2.4834,2.6689,2.363852511260319,0,0,0
124,2.247,2.4062,2.5675,2.288839341759475,0,1,1
125,2.1627,2.2936,2.4283,2.1798170773158025,0,0,0
126,2.2322,2.3939,2.5593,2.27109948785167,0,1,1
127,2.2697,2.4535,2.6417,2.3260239761141754,0,0,0
128,2.1391,2.2867,2.4493,2.153231165323215,0,0,0
129,2.3367,2.5566,2.7856,2.431553914258726,1,1,2
130,2.466,2.7154,2.9713,2.635599738150315,0,1,1
131,2.1659,2.3124,2.4687,2.185765021626928,0,0,0
132,2.4712,2.7404,3.023,2.6623584040257366,1,1,2
133,2.1635,2.2846,2.4077,2.179355561893209,0,0,0
134,2.3161,2.514,2.7207,2.391964362920536,0,1,1
135,2.4204,2.6396,2.8617,2.5460117558369806,0,1,1
136,2.3823,2.6272,2.8833,2.5114065512459693,0,0,0
137,2.3765,2.6045,2.8407,2.491485051940165,0,0,0
138,2.2491,2.3901,2.531,2.2858277805995715,1,0,1
139,1.9975,2.0556,2.114,1.9920342343147568,0,0,0
140,2.2491,2.4247,2.6061,2.296529161678744,0,1,1
141,2.2867,2.4663,2.6501,2.346079147357616,0,1,1
142,2.5293,2.8219,3.1291,2.7788038290310078,0,0,0
143,2.4938,2.7443,2.9987,2.6769958075551274,1,0,1
144,2.2796,2.4547,2.6326,2.335378798517897,0,1,1
145,2.3365,2.5352,2.7392,2.4197389822933077,2,1,3
146,2.486,2.7814,3.0925,2.7145097195146097,0,1,1
147,2.5955,2.909,3.2323,2.915740004514629,0,1,1
148,2.21,2.3564,2.505,2.2398167102243534,0,0,0
149,2.6306,2.9611,3.3023,3.004154138860919,0,0,0
150,2.311,2.4944,2.6796,2.3792475898920578,0,1,1
151,2.3986,2.6176,2.8438,2.515482119302686,1,0,1
152,2.3543,2.5816,2.8191,2.4600556331051138,1,0,1
153,2.1847,2.315,2.4461,2.2060250119965485,0,0,0
154,2.4579,2.7154,2.9835,2.631212476643354,1,1,2
155,2.4369,2.6842,2.9407,2.59153784985926,0,1,1
156,2.4089,2.6433,2.8884,2.5408185271287342,0,1,1
157,2.2177,2.3798,2.5536,2.2523651409733683,1,0,1
158,2.3784,2.6051,2.8381,2.4935176395097844,1,0,1
159,2.1502,2.2658,2.3839,2.1630429540160567,0,0,0
160,2.3204,2.5216,2.7277,2.3999439876585367,0,1,1
161,2.1972,2.34,2.4858,2.22340121602884,0,0,0
162,2.2059,2.353,2.5063,2.234623340800383,0,0,0
163,2.2314,2.3962,2.5669,2.270788225430535,0,1,1
164,2.36,2.5766,2.8081,2.4601588904291405,1,0,1
165,2.5416,2.8197,3.1057,2.7792645820565656,1,1,2
166,2.6151,2.9285,3.2488,2.94728907658336,1,1,2
167,2.3564,2.58,2.8124,2.4607844339441085,1,1,2
168,2.4855,2.7411,3.0118,2.668760783348238,1,0,1
169,2.558,2.8601,3.1798,2.837261722316618,1,0,1
170,2.2679,2.4475,2.6329,2.321884520242964,0,0,0
171,2.4689,2.7415,3.0276,2.662540313359364,0,0,0
172,1.9821,2.0366,2.0922,1.9759708154063749,0,0,0
173,2.4589,2.6745,2.8933,2.595244833404316,0,0,0
174,2.408,2.6234,2.8417,2.5262948272494965,0,0,0
